Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
1029685506,MNQM5,06/12/2025 20:25:46 +01:00,06/12/2025 20:27:11 +01:00,21933.000000000,21935.500000000,0.74000,-5.000000000,1,Short,06/12/2025 00:00:00 -05:00,00:01:25.0977110
1036553197,MNQU5,06/16/2025 14:35:57 +01:00,06/16/2025 14:36:59 +01:00,22069.000000000,22070.000000000,0.74000,-2.000000000,1,Short,06/16/2025 00:00:00 -05:00,00:01:02.6902720
1036553198,MNQU5,06/16/2025 14:35:59 +01:00,06/16/2025 14:36:59 +01:00,22068.750000000,22070.000000000,0.74000,-2.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:01:00.7925550
1055343254,MNQU5,06/20/2025 18:45:14 +01:00,06/20/2025 18:52:46 +01:00,21807.750000000,21815.250000000,2.22000,45.000000000,3,Long,06/20/2025 00:00:00 -05:00,00:07:31.8495340
1064322883,MNQU5,06/24/2025 17:14:19 +01:00,06/24/2025 17:26:42 +01:00,22366.000000000,22391.250000000,2.22000,-151.500000000,3,Short,06/24/2025 00:00:00 -05:00,00:12:23.4992720
1036808514,MNQU5,06/16/2025 14:37:46 +01:00,06/16/2025 14:53:51 +01:00,22070.750000000,22127.500000000,0.74000,-113.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:16:04.7201930
1055618592,MNQU5,06/20/2025 19:39:10 +01:00,06/20/2025 20:07:57 +01:00,21879.000000000,21816.250000000,2.22000,376.500000000,3,Short,06/20/2025 00:00:00 -05:00,00:28:47.2476090
1037068530,MNQU5,06/16/2025 15:11:14 +01:00,06/16/2025 15:12:09 +01:00,22156.000000000,22179.250000000,0.74000,-46.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:00:54.6814570
1037436573,MNQU5,06/16/2025 15:48:47 +01:00,06/16/2025 15:51:21 +01:00,22190.750000000,22183.500000000,0.74000,14.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:02:34.2569350
1037544448,MNQU5,06/16/2025 15:59:02 +01:00,06/16/2025 16:03:59 +01:00,22178.250000000,22179.250000000,0.74000,2.000000000,1,Long,06/16/2025 00:00:00 -05:00,00:04:57.4909470
1037544449,MNQU5,06/16/2025 15:59:41 +01:00,06/16/2025 16:03:59 +01:00,22179.500000000,22179.250000000,0.74000,-0.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:04:18.0404820
